City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temperature
72,mataura,-46.1927,168.8643,284.53,98,100,1.33,NZ,1681238452,28.452999999999996
73,bhuj,23.2667,69.6667,299.32,50,2,4.29,IN,1681238452,29.932
74,touros,-5.1989,-35.4608,301.33,66,96,4.54,BR,1681238453,30.133
75,hirado,33.3597,129.5531,289.48,95,100,6.12,JP,1681238454,28.948
76,sartell,45.6216,-94.2069,295.03,51,0,5.66,US,1681238454,29.502999999999997
77,leh,34.1667,77.5833,267.41,61,41,1.07,IN,1681238455,26.741000000000003
78,jijiga,9.35,42.8,293.01,67,69,1.68,ET,1681238455,29.301
79,warmbad,-28.45,18.7333,290.88,20,12,4.63,,1681238456,29.088
80,amapa,1.0,-52.0,299.92,92,100,1.61,BR,1681238404,29.992
81,xai-xai,-25.0519,33.6442,295.35,83,91,5.49,MZ,1681238456,29.535000000000004
82,verkhnevilyuysk,63.4453,120.3167,246.19,100,100,1.1,RU,1681238457,24.619
83,bambous virieux,-20.3428,57.7575,298.83,88,40,2.06,MU,1681238457,29.883
84,kodiak,57.79,-152.4072,273.88,86,100,2.57,US,1681238400,27.387999999999998
85,katsuura,35.1333,140.3,290.29,82,100,12.32,JP,1681238458,29.029000000000003
86,izhma,65.0083,53.9113,273.62,98,100,2.13,RU,1681238458,27.362000000000002
87,harper,4.375,-7.7169,300.68,81,100,3.63,LR,1681238459,30.068
88,castro,-24.7911,-50.0119,296.88,49,2,1.09,BR,1681238459,29.688
89,hobyo,5.3505,48.5268,301.62,74,9,6.75,SO,1681238459,30.162
90,caravelas,-17.7125,-39.2481,296.4,95,100,3.18,BR,1681238460,29.639999999999997
91,naziya,59.8,31.3833,273.95,99,100,1.69,RU,1681238461,27.395
92,amahai,-3.3333,128.9167,299.12,85,59,1.39,ID,1681238462,29.912
93,puquio,-14.7,-74.1333,288.5,66,100,4.06,PE,1681238462,28.85
94,boa vista,2.8197,-60.6733,306.14,43,75,2.57,BR,1681238464,30.613999999999997
95,mar del plata,-38.0023,-57.5575,298.16,79,0,6.69,AR,1681238351,29.816000000000003
96,tomatlan,19.9333,-105.25,306.9,26,0,4.97,MX,1681238466,30.689999999999998
97,yellowknife,62.456,-114.3525,264.44,86,100,5.14,CA,1681238467,26.444
98,inzhavino,52.3185,42.4937,283.01,46,100,3.22,RU,1681238467,28.301
99,avarua,-21.2078,-159.775,299.18,69,32,1.54,CK,1681238468,29.918
100,ayagoz,47.9714,80.4392,278.66,57,94,3.55,KZ,1681238468,27.866000000000003
101,rikitea,-23.1203,-134.9692,297.94,71,100,3.47,PF,1681238468,29.794
102,atuona,-9.8,-139.0333,300.12,81,100,7.09,PF,1681238469,30.012
103,sao jose da coroa grande,-8.8978,-35.1478,300.63,69,100,2.43,BR,1681238469,30.063
104,orocue,4.7912,-71.3354,307.36,40,100,1.04,CO,1681238470,30.736
105,maningrida,-12.0667,134.2667,298.34,86,88,1.75,AU,1681238246,29.833999999999996
106,curup,-3.4667,102.5333,292.69,98,100,0.53,ID,1681238472,29.269
107,shelburne,44.0787,-80.2041,292.57,38,100,9.0,CA,1681238473,29.256999999999998
108,sabang,5.8933,95.3214,301.41,74,80,1.6,ID,1681238473,30.141000000000002
109,ust-tsilma,65.441,52.1498,273.57,98,100,3.01,RU,1681238474,27.357
110,zanjan,36.6736,48.4787,288.49,41,94,9.22,IR,1681238475,28.849
111,ulladulla,-35.35,150.4667,282.47,81,89,1.83,AU,1681238475,28.247000000000003
112,lamu,-2.2717,40.902,302.27,75,100,4.37,KE,1681238476,30.226999999999997
113,fortuna,40.5982,-124.1573,286.29,72,20,1.79,US,1681238477,28.629
114,bengkulu,-3.8004,102.2655,297.61,89,96,1.42,ID,1681238478,29.761000000000003
115,dikson,73.5069,80.5464,250.05,96,88,7.61,RU,1681238479,25.005000000000003
116,cayenne,4.9333,-52.3333,304.17,62,75,5.14,GF,1681238479,30.417
117,ahipara,-35.1667,173.1667,290.86,90,100,5.71,NZ,1681238480,29.086000000000002
118,bredasdorp,-34.5322,20.0403,286.3,69,62,2.27,ZA,1681238481,28.630000000000003
119,kaniama,-7.5667,24.1833,293.71,93,100,1.41,CD,1681238483,29.371
120,north bend,43.4065,-124.2243,283.1,71,100,4.12,US,1681238486,28.310000000000002
121,banjar,-8.19,114.9675,298.29,92,31,1.53,ID,1681238488,29.829
122,severo-kurilsk,50.6789,156.125,271.72,77,92,8.44,RU,1681238489,27.172000000000004
123,dicabisagan,17.0818,122.4157,296.07,90,91,3.24,PH,1681238489,29.607
124,paita,-5.0892,-81.1144,301.63,70,64,4.67,PE,1681238490,30.163
125,vostochnyy,55.8167,37.8667,284.14,74,77,0.81,RU,1681238490,28.413999999999998
126,sitka,57.0531,-135.33,278.09,65,0,0.0,US,1681238493,27.808999999999997
127,birnin kebbi,12.4539,4.1975,307.72,11,43,3.77,NG,1681238498,30.772000000000002
128,gabu,12.2833,-14.2167,304.83,40,67,3.95,GW,1681238499,30.482999999999997
129,guerrero negro,27.9769,-114.0611,293.71,50,2,6.23,MX,1681238348,29.371
130,coquimbo,-29.9533,-71.3436,291.0,82,75,5.14,CL,1681238303,29.1
131,palekh,56.8028,41.8572,280.81,72,12,1.75,RU,1681238501,28.081
132,nevyansk,57.4953,60.2112,273.14,71,18,2.42,RU,1681238501,27.314
133,falam,22.9167,93.6833,289.16,50,0,1.8,MM,1681238501,28.916000000000004
134,anadyr,64.75,177.4833,249.43,70,0,1.0,RU,1681238502,24.943
135,samarai,-10.6167,150.6667,299.91,81,80,1.97,PG,1681238502,29.991000000000003
136,saint-gaudens,43.0833,0.6667,287.05,91,61,0.67,FR,1681238502,28.705000000000002
137,dubti,11.7361,41.0853,303.54,56,1,6.95,ET,1681238503,30.354000000000003
138,kattivakkam,13.2167,80.3167,302.2,85,0,2.97,IN,1681238503,30.22
139,bethel,41.3712,-73.414,297.05,23,0,7.2,US,1681238503,29.705000000000002
140,iskateley,67.6803,53.1512,262.62,96,100,3.52,RU,1681238504,26.262
141,rehoboth,-23.3167,17.0833,290.84,26,0,0.98,,1681238504,29.083999999999996
142,port hawkesbury,45.6169,-61.3485,289.66,43,40,3.6,CA,1681238504,28.966
143,gualeguay,-33.1416,-59.3097,302.55,35,100,3.94,AR,1681238239,30.255000000000003
144,leningradskiy,69.3833,178.4167,252.92,95,100,2.88,RU,1681238505,25.291999999999998
145,luderitz,-26.6481,15.1594,292.14,42,35,3.9,,1681238505,29.214
146,new norfolk,-42.7826,147.0587,284.21,76,24,0.33,AU,1681238505,28.421
147,namatanai,-3.6667,152.4333,299.06,81,99,0.84,PG,1681238506,29.906
148,souillac,-20.5167,57.5167,298.36,88,40,2.06,MU,1681238506,29.836000000000002
149,cidreira,-30.1811,-50.2056,297.82,73,2,5.02,BR,1681238507,29.782
150,swan river,52.1058,-101.2676,278.09,65,41,6.69,CA,1681238507,27.808999999999997
151,kupang,-10.1667,123.5833,297.47,100,20,0.51,ID,1681238508,29.747000000000003
152,hobart,-42.8794,147.3294,284.41,95,100,2.57,AU,1681238508,28.441000000000003
153,vestmannaeyjar,63.4427,-20.2734,279.7,75,40,1.54,IS,1681238362,27.97
154,dunedin,-45.8742,170.5036,285.84,96,100,4.05,NZ,1681238509,28.583999999999996
155,saint george,37.1041,-113.5841,300.61,22,0,3.09,US,1681238267,30.061
156,biak,-0.9131,122.8766,298.2,79,34,0.99,ID,1681238509,29.82
157,tasiilaq,65.6145,-37.6368,275.24,94,100,0.29,GL,1681238509,27.524
158,euclid,41.5931,-81.5268,296.66,29,0,9.77,US,1681238510,29.666000000000004
159,kangaatsiaq,68.3065,-53.4641,269.81,86,69,3.43,GL,1681238510,26.981
160,esso,55.9333,158.7,257.37,96,87,2.13,RU,1681238510,25.737000000000002
161,lluta,-16.0147,-72.0142,288.59,53,91,4.35,PE,1681238511,28.858999999999998
162,lavrentiya,65.5833,-171.0,250.53,90,12,2.34,RU,1681238511,25.053
